Title,Company,Experience,Salary,Location,Skills,Link
trainee engineer- mechanical department,resolve biotech pvt ltd,0-2 yrs,,"mumbai suburban, mumbai (all areas)(andheri east)","3d modeling, catia, 3d printing, 3d, autocad, ansys, design engineering, mechanical engineering",https://www.naukri.com/job-listings-trainee-engineer-mechanical-department-resolve-biotech-pvt-ltd-mumbai-suburban-mumbai-all-areas-0-to-2-years-180325022323
mechanical engineer - production & design,colorado,0-3 yrs,2.25-3.75 lacs pa,bengaluru(rajaji nagar),"autocad, solid works, mechanical engineer, design, production, production engineering, design engineering, mechanical engineering",https://www.naukri.com/job-listings-mechanical-engineer-production-design-colorado-bengaluru-0-to-3-years-130325918256
dot net developer - fresher,brilino solutions,0-1 yrs,,mumbai,"ms sql, jquery, web development, debugging, consulting, javascript, html, mvc",https://www.naukri.com/job-listings-dot-net-developer-fresher-brilino-solutions-mumbai-0-to-1-years-300724502124
junior talent acquisition (mba freshers only),aeries technology,0-1 yrs,,"mumbai, bangalore rural, mumbai (all areas)","talent acquisition, end to end recruitment, recruitment coordinator, sourcing, shortlisting, talent sourcing, interviewing, recruitment",https://www.naukri.com/job-listings-junior-talent-acquisition-mba-freshers-only-aeries-technology-mumbai-bangalore-rural-mumbai-all-areas-0-to-1-years-110325024420
dot net developer intern,vaibhav global,,"10,000/month",jaipur,,https://www.naukri.com/job-listings-dot-net-developer-intern-vaibhav-global-ltd-jaipur-0-to-1-years-270225502206
executive-purchase,siemens,0-5 yrs,,aurangabad,"procurement, material management, manager quality assurance, demand planning, manufacturing process, sap pp, senior executive, analytical",https://www.naukri.com/job-listings-executive-purchase-siemens-limited-aurangabad-0-to-5-years-180225501848
dot net developer (mvc and core),distinct technology,0-2 yrs,,nagpur,"jquery, front end, coding, debugging, javascript, agile, html, mvc",https://www.naukri.com/job-listings-dot-net-developer-mvc-and-core-distinct-technology-nagpur-0-to-2-years-030425503067
software tester,crimson interactive,0-5 yrs,,"mumbai suburban, mumbai (all areas)","selenium webdriver, automation testing, java, qa testing, eclipse, manual testing, qa automation, python",https://www.naukri.com/job-listings-software-tester-crimson-interactive-mumbai-suburban-mumbai-all-areas-0-to-5-years-220325005354
dot net developer,mobitrail,0-2 yrs,,mumbai (all areas),"c#, .net core, asp.net, mvc, .net mvc, web api, azure, javascript",https://www.naukri.com/job-listings-dot-net-developer-mobitrail-mumbai-all-areas-0-to-2-years-250325013068
designer steam turbines (service engineering),siemens,8-13 yrs,,gurugram,"service engineering, 2d, sap, autocad, pro-e, nx, 3d design, servicing",https://www.naukri.com/job-listings-designer-steam-turbines-service-engineering-siemens-limited-gurugram-8-to-13-years-030425919769
dot net developer,harjai computers,0-5 yrs,,mumbai (all areas),"web api, asp.net, dotnet development, angular, sql, dot, .net, development",https://www.naukri.com/job-listings-dot-net-developer-harjai-computers-mumbai-all-areas-0-to-5-years-280325011071
drilling engineer,web solution centre,4-7 yrs,,mumbai,"petroleum engineering, drilling, drilling engineering, oil, petroleum, contract management, project management, exploration",https://www.naukri.com/job-listings-drilling-engineer-web-solution-centre-mumbai-4-to-7-years-190325925136
opening for dot net developer fresher @thane,squad infotech private ltd,0 yrs,,mumbai,"c#, .net, html, sql, dot, development",https://www.naukri.com/job-listings-opening-for-dot-net-developer-fresher-thane-squad-infotech-private-ltd-mumbai-0-to-0-years-291118600492
dot net trainee,teknorix,0-1 yrs,,"panaji, verna,goa","object oriented design, software design, analytical, postgresql, mysql, javascript, programming, net trainee",https://www.naukri.com/job-listings-dot-net-trainee-teknorix-systems-panaji-verna-goa-0-to-1-years-070920500538
hr executive ( ftm ),itc,0-1 yrs,,kolkata,"hr executive, media strategy, process documentation, social media, corporate, hrbp, hr, fmcg",https://www.naukri.com/job-listings-hr-executive-ftm-itc-ltd-kolkata-0-to-1-years-040325503937
dot net developer - fresher,prerak infotech,0-1 yrs,,mumbai,"jquery, web technologies, xml, agile development, web development, asp.net, mvc, sql",https://www.naukri.com/job-listings-dot-net-developer-fresher-prerak-infotech-mumbai-0-to-1-years-280622500816
software trainee asp dot net,mayank soft,0-2 yrs,,panchkula,"pgdca, web technologies, software trainee, javascript, manager technology, asp.net, windows, dot",https://www.naukri.com/job-listings-software-trainee-asp-dot-net-mayank-soft-panchkula-0-to-2-years-020424501433
technician - mpdm,flex,0-2 yrs,,chennai,"technician, bom, npi engineering, plm software, eco process, new product introduction, software, eco",https://www.naukri.com/job-listings-technician-mpdm-flextronics-technologies-i-pvt-ltd-chennai-0-to-2-years-100325920608
hr intern recruiter or freelancer hr recruiter wfh,career maker consultancy,0-5 yrs,"50,000-3 lacs pa","noida, bhopal, jabalpur, pune, lucknow, mumbai (all areas)","it recruitment, bpo recruitment, bfsi recruitment, bpo hiring, non it recruitment, intership, lateral hiring, volume hiring",https://www.naukri.com/job-listings-hr-intern-recruiter-or-freelancer-hr-recruiter-wfh-career-maker-consultancy-noida-bhopal-jabalpur-pune-lucknow-mumbai-all-areas-0-to-5-years-200325022234
opening for dot net developer trainee @ noida,squad infotech private ltd,0 yrs,,noida,"c#, .net, mvc, sql server, server, sql, dot, serv",https://www.naukri.com/job-listings-opening-for-dot-net-developer-trainee-noida-squad-infotech-private-ltd-noida-0-to-0-years-280120600392
trainee mechanical engineer,raj process equipments and system,0-1 yrs,2.5 lacs pa,hybrid - pune,"production engineer, mechanical engineering, production, production engineering, engineering, mechanical, training",https://www.naukri.com/job-listings-trainee-mechanical-engineer-raj-process-equipments-and-system-pune-0-to-1-years-030924005324
design and production engineer,technik spirits,0-3 yrs,,ahmedabad,"excel, autocad, time management, sheet metal, mechanical, performance testing, design development, production department",https://www.naukri.com/job-listings-design-and-production-engineer-technik-spirits-ahmedabad-0-to-3-years-141024502139
dot net trainee,vyapin software systems,0-1 yrs,,chennai,"system architecture, interpersonal skills, web services, soa, xml, architectural design, wpf, asp.net mvc",https://www.naukri.com/job-listings-dot-net-trainee-vyapin-software-systems-p-ltd-chennai-0-to-1-years-150922501554
dot net developer - {pan india},infosys,2-6 yrs,,"hybrid - hyderabad, pune, bengaluru",".net, c#, asp.net, mvc, dot, pan, development",https://www.naukri.com/job-listings-dot-net-developer-pan-india-infosys-hyderabad-pune-bengaluru-2-to-6-years-270325014440
c# dot net developer,websmith solution,0-1 yrs,,"mumbai, ahmedabad, rajkot","ms sql, jquery, coding, javascript, json, medical insurance, wcf, selenium",https://www.naukri.com/job-listings-c-dot-net-developer-websmith-solution-mumbai-ahmedabad-rajkot-0-to-1-years-041224502533
dot net mvc developer,markstein technology solutions pvt. ltd.,0-2 yrs,,"noida, mumbai, gwalior, sagar","ms sql, jquery, linq, coding, entity framework, html, asp.net mvc, sql",https://www.naukri.com/job-listings-dot-net-mvc-developer-markstein-technology-solutions-pvt-ltd-noida-mumbai-gwalior-sagar-0-to-2-years-061224501626
dot net developer,turbotrack asset solutions,0-3 yrs,1.75-4.5 lacs pa,pune(lullanagar),"c#, angular, sql, asp.net mvc, azure, mysql, api, react",https://www.naukri.com/job-listings-dot-net-developer-turbotrack-asset-solutions-pvt-ltd-pune-0-to-3-years-270325014589
dot net developer,milestone infosoft solutions,0-3 yrs,,mumbai,"project development, front end, end, development, project, .net, front, dot",https://www.naukri.com/job-listings-dot-net-developer-milestone-infosoft-solutions-private-limited-mumbai-0-to-3-years-211124507510
dot net full stack developer,godigi infotech,4-6 yrs,,"mumbai, hyderabad, pune, ahmedabad, bengaluru","design development, effort estimation, deployment, asp.net, mvc, unit testing, sql azure, core php",https://www.naukri.com/job-listings-dot-net-full-stack-developer-godigi-infotech-mumbai-hyderabad-pune-ahmedabad-bengaluru-4-to-6-years-100524501465
dot net developer,infosys,3-8 yrs,,"hybrid - pune, chennai, bengaluru",".net, asp.net, asp.net mvc, dotnet development, dot net developer, linq, ado.net, net development",https://www.naukri.com/job-listings-dot-net-developer-infosys-pune-chennai-bengaluru-3-to-8-years-030425017768
dot net developer - bangalore.,infosys,6-11 yrs,,"hybrid - pune, chennai, bengaluru",".net, .net core, asp.net, dot, development, core",https://www.naukri.com/job-listings-dot-net-developer-bangalore-infosys-pune-chennai-bengaluru-6-to-11-years-180325017194
web designer/graphic designer,arokia it,3-5 yrs,,mumbai,"sound editing, flash designing, css, html, adobe captivate, 3ds max, flash designer, graphic designer",https://www.naukri.com/job-listings-web-designer-graphic-designer-arokia-it-pvt-limited-mumbai-3-to-5-years-280318502328
"internship trainee - spares inventory, logistics,hyderbad",wikilabs india,0-1 yrs,"90,000-1.25 lacs pa",hyderabad,"excellent communication in english, supply chain management, business administration, microsoft office suite, microsoft, logistics, management, inventory",https://www.naukri.com/job-listings-internship-trainee-spares-inventory-logistics-hyderbad-wikilabs-india-hyderabad-0-to-1-years-100325006745
freshers only - management trainees - b.tech/mba/ b.com/mca/bca/bsc,principle circle innovations llp,0-1 yrs,3-4.5 lacs pa,"hyderabad, bengaluru","entry level, fresher hiring, freshers, hiring, management, training management, training",https://www.naukri.com/job-listings-freshers-only-management-trainees-b-tech-mba-b-com-mca-bca-bsc-principle-circle-innovations-llp-hyderabad-bengaluru-0-to-1-years-040425017951
internship program,vacationlabs,,unpaid,panaji,,https://www.naukri.com/job-listings-internship-program-vacation-labs-panaji-0-to-1-years-240320501419
trainee,dem infra,0-2 yrs,,mumbai,"quality control, mechanical engineering, production, training, quality monitoring, autocad, automobile, quality analysis",https://www.naukri.com/job-listings-trainee-dem-infra-mumbai-0-to-2-years-180225500938
hr executive - l&d,godrej infotech,0-1 yrs,1-4 lacs pa,mumbai (all areas),"learning and development, training and development, employee engagement, engagement, development, development, training, hrsd",https://www.naukri.com/job-listings-hr-executive-l-d-godrej-infotech-mumbai-all-areas-0-to-1-years-180325010370
"internship trainee - vendor management, logistics, hyderabad",wikilabs india,0-1 yrs,"90,000-1.25 lacs pa",hyderabad,"excellent communication in english, vendor management, business administration, microsoft office suite, microsoft, english, office, ms office",https://www.naukri.com/job-listings-internship-trainee-vendor-management-logistics-hyderabad-wikilabs-india-hyderabad-0-to-1-years-100325006840
mechanical engineer - fresher (for bangalore),human network,0-1 yrs,1.5-1.75 lacs pa,bengaluru,"production, mechanical engineering, mechanical",https://www.naukri.com/job-listings-mechanical-engineer-fresher-for-bangalore-human-network-bengaluru-0-to-1-years-040425020888
internship trainee/ business development representative,prolific hr consultants,,"40,000/month",bengaluru(sector 3 hsr layout ),,https://www.naukri.com/job-listings-internship-trainee-business-development-representative-prolific-hr-consultants-bengaluru-0-to-1-years-270325027199
dot net fullstack developer,smart placement services,0 yrs,4-6 lacs pa,hybrid - pune,"c#, dotnet development, asp.net web api, asp.net core mvc, .net core, net mvc, .net, asp.net",https://www.naukri.com/job-listings-dot-net-fullstack-developer-smart-placement-services-pune-0-to-0-years-020425027130
hr coordinator internship hiring,celzene it services,,2-6 lacs pa,,"offer generation, recruitment operations, induction, joining formalities, hr coordination, recruitment management, job posting, exit formalities",https://www.naukri.com/job-listings-hr-coordinator-internship-hiring-celzene-it-services-hyderabad-0-to-5-years-040425022205
dot net developer,acmeminds solutions,0-1 yrs,,"chandigarh, hyderabad, gurugram","front end, version control, git, coding, analytical, debugging, javascript, developer",https://www.naukri.com/job-listings-dot-net-developer-acmeminds-solutions-chandigarh-hyderabad-gurugram-0-to-1-years-020425500948
internship / trainee,jagluck services,0-1 yrs,,hyderabad,"training, backend, front end, intern, oops, web development, design development, web designing",https://www.naukri.com/job-listings-internship-trainee-jagluck-services-pvt-ltd-hyderabad-0-to-1-years-140225501262
internship / trainee,jagluck services,0-1 yrs,,bengaluru,"training, backend, front end, intern, oops, web development, design development, web designing",https://www.naukri.com/job-listings-internship-trainee-jagluck-services-pvt-ltd-bengaluru-0-to-1-years-140225501263
